TP1;TIRA;TP2;ECH;PER;NDEP;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;TOIS;TDIS;TDIP;TDMO;TDMD;TFIN
4;001;010;046;02;01;2;02;21;026010;045006;00;1;1;3;2;00;11069;19960;19960;133;0;0
4;001;010;046;02;02;1;00;21;045006;026010;02;1;1;2;2;00;11069;19565;19565;0;133;0
4;001;010;046;02;02;2;02;32;026010;002007;05;;;;;;1860;2790;2790;133;333;0
4;001;010;059;02;01;1;15;32;002004;019006;05;;;;;;4191;6286;6286;1000;333;0
4;001;010;059;02;02;1;05;32;019006;003017;15;;;;;;3502;5253;5253;333;1000;0
4;001;010;064;01;01;1;00;11;001010;022003;00;0;1;2;2;00;3460;4041;4032;0;0;0
4;001;010;064;01;02;1;00;11;022003;001010;00;0;1;2;2;00;3460;4041;4032;0;0;0
4;001;010;102;01;01;1;03;32;001011;006013;04;;;;;;1412;2118;2118;200;267;0
4;001;010;102;01;02;1;04;32;006013;001011;03;;;;;;1412;2118;2118;267;200;0
4;001;010;102;01;05;1;03;32;001011;006013;04;;;;;;1412;2118;2118;200;267;0
4;001;010;102;01;06;1;04;32;006013;001011;03;;;;;;1412;2118;2118;267;200;0
4;001;010;110;01;03;1;01;32;001011;028005;05;;;;;;1675;2512;2512;67;333;0
4;001;010;110;01;04;1;05;32;028005;001011;01;;;;;;1675;2512;2512;333;67;0
4;001;010;110;01;05;1;01;32;001011;022003;10;;;;;;3388;5082;5082;67;667;0
4;001;010;110;01;06;1;10;32;022003;006010;10;;;;;;2620;3930;3930;667;667;0
4;001;010;133;01;01;1;05;32;001011;022006;05;;;;;;1966;2949;2949;333;333;0
4;001;010;133;01;02;1;05;32;022006;001011;05;;;;;;1966;2949;2949;333;333;0
4;001;010;133;02;02;1;02;21;008001;001010;03;1;1;2;3;00;1019;1907;1907;133;200;0
4;001;010;133;02;03;1;03;21;001010;008001;15;1;1;2;2;00;1019;1531;1531;200;1000;0
4;001;010;144;02;01;1;02;32;001011;022006;01;;;;;;1966;2949;2949;133;67;0
4;001;010;144;02;01;2;01;31;022007;025002;03;;;;;;633;949;949;67;200;0
4;001;010;144;02;02;1;05;32;022007;023001;15;;;;;;2810;4214;4214;333;1000;0
4;001;010;144;02;03;1;15;32;023001;001011;01;;;;;;4239;6359;6359;1000;67;0
4;001;011;021;01;01;1;10;21;003001;033017;00;1;1;1;2;00;3953;5768;5768;667;0;0
4;001;011;021;01;02;1;00;21;033017;033451;00;1;1;4;2;01;679;1204;1204;0;0;0
4;001;011;021;01;03;1;00;21;033451;032001;00;1;1;2;2;00;6235;7943;7943;0;0;0
4;001;011;021;01;04;1;00;21;032001;032001;00;1;1;2;2;00;599;1079;1079;0;0;0
4;001;011;042;01;01;1;02;15;001011;033012;00;1;1;3;2;00;4800;6054;6054;133;0;0
4;001;011;042;01;02;1;00;15;033012;043451;00;1;1;3;2;00;1492;1801;1801;0;0;0
4;001;011;042;01;03;1;00;15;043451;001011;02;1;1;1;3;00;6270;7479;7479;0;133;0
4;001;011;092;01;01;1;02;32;001011;002007;02;;;;;;348;522;522;133;133;0
4;001;011;092;01;03;2;01;32;003001;003005;05;;;;;;516;773;773;67;333;0
4;001;011;092;01;03;1;02;32;001011;003001;01;;;;;;961;1442;1442;133;67;0
4;001;011;092;01;04;1;05;32;003005;003001;01;;;;;;516;773;773;333;67;0
4;001;011;092;01;04;2;01;32;003001;001011;02;;;;;;961;1442;1442;67;133;0
4;001;011;096;01;01;1;02;32;001011;002005;01;;;;;;708;1062;1062;133;67;0
4;001;011;096;01;04;1;04;21;007005;028006;00;8;1;3;2;00;2061;3052;3052;267;0;0
4;001;011;096;01;05;1;00;21;028006;011451;01;8;1;3;2;00;1560;2389;2389;0;67;0
4;001;011;096;01;06;1;01;21;011451;001011;02;8;1;2;3;02;2957;3790;3790;67;133;0
4;001;011;107;01;01;1;02;32;001011;022006;01;;;;;;1966;2949;2949;133;67;0
4;001;011;107;01;01;2;01;31;022007;025011;01;;;;;;2006;3009;3009;67;67;0
4;001;011;107;01;02;2;02;32;022006;001011;02;;;;;;1966;2949;2949;133;133;0
4;001;011;107;01;02;1;01;31;025011;006013;02;;;;;;2481;3722;3722;67;133;0
4;001;011;107;01;03;1;02;32;001011;028011;00;;;;;;3285;4927;4927;133;0;0
4;001;011;107;01;04;1;00;22;028011;007002;02;;;;;;3115;3889;3889;0;133;0
4;001;011;111;01;01;1;00;21;022002;007003;05;1;1;2;3;00;2230;3351;3351;0;333;0
4;001;011;111;01;02;1;05;21;007003;014009;00;1;1;3;2;00;3714;5308;5308;333;0;0
4;001;011;111;01;03;1;00;21;014009;022002;00;1;1;2;2;00;3620;9199;9199;0;0;0
4;001;011;149;01;01;1;02;32;001011;009010;00;;;;;;1428;2142;2142;133;0;0
4;001;011;149;01;01;2;00;31;009010;027003;01;;;;;;1802;2702;2702;0;67;0
4;001;011;149;01;02;2;00;32;009010;001011;02;;;;;;1428;2142;2142;0;133;0
4;001;011;149;01;02;1;01;31;027003;009010;00;;;;;;1802;2702;2702;67;0;0
4;001;011;196;01;01;1;03;32;001011;019004;05;;;;;;5091;7637;7637;200;333;0
4;001;011;196;01;02;1;05;32;019004;001011;03;;;;;;5091;7637;7637;333;200;0
4;001;011;196;01;03;1;03;32;001011;028005;07;;;;;;1675;2512;2512;200;467;0
4;001;011;196;01;04;1;07;32;028005;001011;03;;;;;;1675;2512;2512;467;200;0
4;001;011;197;01;01;1;00;11;001011;017005;00;0;1;3;2;00;1869;2381;2381;0;0;0
4;001;011;197;01;02;1;00;11;017005;001011;00;0;1;1;2;00;1869;2381;2381;0;0;0
4;001;011;197;01;03;1;02;32;001011;028010;05;;;;;;2369;3553;3553;133;333;0
4;001;011;197;01;04;1;05;32;028010;001011;02;;;;;;2369;3553;3553;333;133;0
4;001;011;203;01;01;1;04;21;001011;023003;05;1;1;2;3;02;4011;5125;5125;267;333;0
4;001;011;203;01;02;1;05;21;023003;001011;04;1;1;2;2;01;4011;5393;5393;333;267;0
4;001;011;205;01;01;1;05;32;001011;022006;06;;;;;;1966;2949;2949;333;400;0
4;001;011;205;01;04;1;06;32;022006;001011;05;;;;;;1966;2949;2949;400;333;0
4;001;011;206;01;01;1;00;11;001011;008001;00;0;1;0;;00;981;1395;1395;0;0;0
4;001;011;206;01;02;1;00;11;008001;001005;00;0;1;2;2;00;1476;1949;1949;0;0;0
4;001;011;206;01;03;1;00;11;001005;001011;00;0;1;1;2;00;656;916;916;0;0;0
4;001;011;206;01;04;1;00;11;001011;008001;00;0;1;0;;00;981;1395;1395;0;0;0
4;001;011;206;01;05;1;00;11;008001;001011;00;0;1;1;2;00;981;1395;1395;0;0;0
4;001;011;206;02;01;1;00;11;001011;008001;00;0;1;3;2;00;981;1395;1395;0;0;0
4;001;011;206;02;02;1;00;11;008001;001011;00;0;1;1;2;00;981;1395;1395;0;0;0
4;002;001;015;01;04;1;04;32;002005;042003;03;;;;;;6492;9739;9739;267;200;0
4;002;001;032;01;01;1;05;21;002006;005006;02;1;1;2;3;05;1547;1960;1960;333;133;0
4;002;001;032;01;02;1;05;32;003017;010005;02;;;;;;2475;3713;3713;333;133;0
