PP1;TIRA;PP2;ECH;PER;DATE;PENQ;JOURDEP;P2;P3;P4;P7;P8;P9;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24A;P11A;P25;P26;PL27;PL28;P12A;P12B;P12C;P12D;P12E;P12F;P1;COE1;COEP;DP13;PFIN
2;067;010;021;01;031213;1;1;2;2;56;1;4;2;5;888888;;;;5;5;5;1;5;5;5;1;1;5;5;4;4;4;4;4;;1;76.33809;76.33809;0;0
2;067;010;031;01;031213;1;1;1;1;54;1;3;1;5;888888;;;;1;4;5;1;5;5;1;1;1;5;5;4;4;4;4;4;;1;111.0348;111.0348;0;0
2;067;011;046;01;121213;1;3;1;1;50;1;3;6;;;;;;4;2;1;2;5;4;4;1;;5;5;4;4;4;4;4;;1;80.19468;80.19468;0;0
2;067;011;108;01;010414;1;1;2;1;83;2;1;8;;;;;;5;5;5;5;2;5;9;1;;5;5;4;4;4;4;4;;1;39.34549;39.34549;0;0
2;067;011;048;04;051213;1;3;1;3;15;2;0;5;5;123003;;;;5;5;5;5;1;1;7;1;;5;1;4;3;3;4;4;2;1;38.53339;38.53339;21819;0
2;067;011;046;02;121213;1;3;2;2;45;1;6;2;5;022003;1;3;;1;4;5;1;5;4;4;1;6;5;5;4;4;4;4;4;;1;80.19468;80.19468;20245;0
2;067;011;048;01;051213;1;3;1;1;47;1;5;1;5;067005;1;3;;5;5;5;1;5;5;2;1;1;5;5;4;4;4;4;4;;1;49.84695;49.84695;6485;0
2;067;011;046;03;121213;1;3;1;3;14;2;0;5;5;067010;;;;1;2;5;5;1;5;7;1;;5;5;4;4;4;4;4;;1;61.99322;61.99322;1447;0
2;067;011;046;04;121213;1;3;1;3;14;2;0;5;5;067010;;;;1;2;5;5;1;5;7;1;;5;5;4;4;4;4;4;;1;61.99322;61.99322;1447;0
2;067;011;048;06;051213;1;3;2;3;07;2;0;5;5;067010;;;;5;5;5;5;1;5;7;1;;5;5;4;4;4;4;4;;1;80.92441;80.92441;1447;0
2;067;011;048;05;051213;1;3;1;3;13;2;0;5;5;067021;;;;5;5;5;5;1;5;7;1;;5;1;4;4;3;4;4;;1;38.53339;38.53339;7476;0
2;067;011;048;02;051213;1;3;2;2;39;1;4;1;5;068004;1;3;;5;5;5;1;5;5;5;1;1;5;5;4;4;4;4;4;;1;74.85901;74.85901;10177;0
